Area,Season,Year,Months,Standard Deviation,Outlier Type
Svalbard and Jan Mayen Islands,Winter,1969,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1969,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1969,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1969,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1969,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1969,December,4.189,High
Sweden,Winter,1969,January,2.681,High
Sweden,Winter,1969,February,3.178,High
Sweden,Spring,1969,March,2.462,High
Sweden,Summer,1969,June,1.359,High
Sweden,Fall,1969,November,1.927,High
Sweden,Winter,1969,December,2.699,High
Switzerland,Winter,1969,February,2.724,High
Switzerland,Spring,1969,March,1.836,High
Uruguay,Summer,1969,June,1.463,High
Uruguay,Summer,1969,July,1.606,High
Yugoslav SFR,Winter,1969,February,2.753,High
Northern Europe,Winter,1969,February,2.643,High
Northern Europe,Spring,1969,March,1.93,High
Afghanistan,Winter,1970,February,2.597,High
Antarctica,Spring,1970,April,1.868,High
Antarctica,Summer,1970,June,1.929,High
Antarctica,Summer,1970,July,1.801,High
Antarctica,Summer,1970,August,2.216,High
Antarctica,Fall,1970,September,2.058,High
Argentina,Summer,1970,July,1.424,High
Austria,Winter,1970,February,2.924,High
Austria,Spring,1970,March,2.054,High
Belgium-Luxembourg,Winter,1970,February,2.905,High
Belgium-Luxembourg,Spring,1970,March,1.844,High
Belgium-Luxembourg,Summer,1970,July,1.397,High
Bulgaria,Winter,1970,February,2.776,High
Bulgaria,Summer,1970,August,1.343,High
Canada,Spring,1970,March,1.875,High
Czechoslovakia,Winter,1970,February,3.13,High
Czechoslovakia,Spring,1970,March,2.322,High
Denmark,Winter,1970,February,2.55,High
Denmark,Spring,1970,March,2.01,High
Finland,Winter,1970,January,3.335,High
Finland,Winter,1970,February,3.566,High
Finland,Spring,1970,March,2.892,High
Finland,Summer,1970,June,1.583,High
Finland,Summer,1970,July,1.38,High
Finland,Fall,1970,October,1.915,High
Finland,Fall,1970,November,2.28,High
Finland,Winter,1970,December,3.499,High
Germany,Winter,1970,February,2.957,High
Germany,Spring,1970,March,2.037,High
Greenland,Spring,1970,March,2.021,High
Hungary,Winter,1970,February,3.171,High
Hungary,Spring,1970,March,2.223,High
Iceland,Spring,1970,March,2.196,High
Liechtenstein,Winter,1970,February,2.814,High
Liechtenstein,Spring,1970,March,1.959,High
Mongolia,Winter,1970,February,3.021,High
Mongolia,Spring,1970,March,1.962,High
Mongolia,Fall,1970,November,2.235,High
Mongolia,Winter,1970,December,2.926,High
Netherlands,Winter,1970,February,2.75,High
Norway,Spring,1970,March,2.1,High
Norway,Summer,1970,June,1.468,High
Paraguay,Summer,1970,June,1.592,High
Paraguay,Summer,1970,July,2.058,High
Paraguay,Summer,1970,August,1.58,High
Poland,Winter,1970,January,2.587,High
Poland,Winter,1970,February,3.375,High
Poland,Spring,1970,March,2.815,High
Poland,Summer,1970,July,1.336,High
Romania,Winter,1970,February,3.065,High
Romania,Spring,1970,March,2.027,High
Romania,Fall,1970,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1970,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1970,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1970,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1970,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1970,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1970,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1970,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1970,December,4.189,High
Sweden,Winter,1970,January,2.681,High
Sweden,Winter,1970,February,3.178,High
Sweden,Spring,1970,March,2.462,High
Sweden,Summer,1970,June,1.359,High
Sweden,Fall,1970,November,1.927,High
Sweden,Winter,1970,December,2.699,High
Switzerland,Winter,1970,February,2.724,High
Switzerland,Spring,1970,March,1.836,High
Uruguay,Summer,1970,June,1.463,High
Uruguay,Summer,1970,July,1.606,High
Yugoslav SFR,Winter,1970,February,2.753,High
Northern Europe,Winter,1970,February,2.643,High
Northern Europe,Spring,1970,March,1.93,High
Afghanistan,Winter,1971,February,2.597,High
Antarctica,Spring,1971,April,1.868,High
Antarctica,Summer,1971,June,1.929,High
Antarctica,Summer,1971,July,1.801,High
Antarctica,Summer,1971,August,2.216,High
Antarctica,Fall,1971,September,2.058,High
Argentina,Summer,1971,July,1.424,High
Austria,Winter,1971,February,2.924,High
Austria,Spring,1971,March,2.054,High
Belgium-Luxembourg,Winter,1971,February,2.905,High
Belgium-Luxembourg,Spring,1971,March,1.844,High
Belgium-Luxembourg,Summer,1971,July,1.397,High
Bulgaria,Winter,1971,February,2.776,High
Bulgaria,Summer,1971,August,1.343,High
Canada,Spring,1971,March,1.875,High
Czechoslovakia,Winter,1971,February,3.13,High
Czechoslovakia,Spring,1971,March,2.322,High
Denmark,Winter,1971,February,2.55,High
Denmark,Spring,1971,March,2.01,High
Finland,Winter,1971,January,3.335,High
Finland,Winter,1971,February,3.566,High
Finland,Spring,1971,March,2.892,High
Finland,Summer,1971,June,1.583,High
Finland,Summer,1971,July,1.38,High
Finland,Fall,1971,October,1.915,High
Finland,Fall,1971,November,2.28,High
Finland,Winter,1971,December,3.499,High
Germany,Winter,1971,February,2.957,High
Germany,Spring,1971,March,2.037,High
Greenland,Spring,1971,March,2.021,High
Hungary,Winter,1971,February,3.171,High
Hungary,Spring,1971,March,2.223,High
Iceland,Spring,1971,March,2.196,High
Liechtenstein,Winter,1971,February,2.814,High
Liechtenstein,Spring,1971,March,1.959,High
Mongolia,Winter,1971,February,3.021,High
Mongolia,Spring,1971,March,1.962,High
Mongolia,Fall,1971,November,2.235,High
Mongolia,Winter,1971,December,2.926,High
Netherlands,Winter,1971,February,2.75,High
Norway,Spring,1971,March,2.1,High
Norway,Summer,1971,June,1.468,High
Paraguay,Summer,1971,June,1.592,High
Paraguay,Summer,1971,July,2.058,High
Paraguay,Summer,1971,August,1.58,High
Poland,Winter,1971,January,2.587,High
Poland,Winter,1971,February,3.375,High
Poland,Spring,1971,March,2.815,High
Poland,Summer,1971,July,1.336,High
Romania,Winter,1971,February,3.065,High
Romania,Spring,1971,March,2.027,High
Romania,Fall,1971,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1971,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1971,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1971,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1971,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1971,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1971,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1971,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1971,December,4.189,High
Sweden,Winter,1971,January,2.681,High
Sweden,Winter,1971,February,3.178,High
Sweden,Spring,1971,March,2.462,High
Sweden,Summer,1971,June,1.359,High
Sweden,Fall,1971,November,1.927,High
Sweden,Winter,1971,December,2.699,High
Switzerland,Winter,1971,February,2.724,High
Switzerland,Spring,1971,March,1.836,High
Uruguay,Summer,1971,June,1.463,High
Uruguay,Summer,1971,July,1.606,High
Yugoslav SFR,Winter,1971,February,2.753,High
Northern Europe,Winter,1971,February,2.643,High
Northern Europe,Spring,1971,March,1.93,High
Afghanistan,Winter,1972,February,2.597,High
Antarctica,Spring,1972,April,1.868,High
Antarctica,Summer,1972,June,1.929,High
Antarctica,Summer,1972,July,1.801,High
Antarctica,Summer,1972,August,2.216,High
Antarctica,Fall,1972,September,2.058,High
Argentina,Summer,1972,July,1.424,High
Austria,Winter,1972,February,2.924,High
Austria,Spring,1972,March,2.054,High
Belgium-Luxembourg,Winter,1972,February,2.905,High
Belgium-Luxembourg,Spring,1972,March,1.844,High
Belgium-Luxembourg,Summer,1972,July,1.397,High
Bulgaria,Winter,1972,February,2.776,High
Bulgaria,Summer,1972,August,1.343,High
Canada,Spring,1972,March,1.875,High
Czechoslovakia,Winter,1972,February,3.13,High
Czechoslovakia,Spring,1972,March,2.322,High
Denmark,Winter,1972,February,2.55,High
Denmark,Spring,1972,March,2.01,High
Finland,Winter,1972,January,3.335,High
Finland,Winter,1972,February,3.566,High
Finland,Spring,1972,March,2.892,High
Finland,Summer,1972,June,1.583,High
Finland,Summer,1972,July,1.38,High
Finland,Fall,1972,October,1.915,High
Finland,Fall,1972,November,2.28,High
Finland,Winter,1972,December,3.499,High
Germany,Winter,1972,February,2.957,High
Germany,Spring,1972,March,2.037,High
Greenland,Spring,1972,March,2.021,High
Hungary,Winter,1972,February,3.171,High
Hungary,Spring,1972,March,2.223,High
Iceland,Spring,1972,March,2.196,High
Liechtenstein,Winter,1972,February,2.814,High
Liechtenstein,Spring,1972,March,1.959,High
Mongolia,Winter,1972,February,3.021,High
Mongolia,Spring,1972,March,1.962,High
Mongolia,Fall,1972,November,2.235,High
Mongolia,Winter,1972,December,2.926,High
Netherlands,Winter,1972,February,2.75,High
Norway,Spring,1972,March,2.1,High
Norway,Summer,1972,June,1.468,High
Paraguay,Summer,1972,June,1.592,High
Paraguay,Summer,1972,July,2.058,High
Paraguay,Summer,1972,August,1.58,High
Poland,Winter,1972,January,2.587,High
Poland,Winter,1972,February,3.375,High
Poland,Spring,1972,March,2.815,High
Poland,Summer,1972,July,1.336,High
Romania,Winter,1972,February,3.065,High
Romania,Spring,1972,March,2.027,High
Romania,Fall,1972,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1972,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1972,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1972,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1972,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1972,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1972,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1972,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1972,December,4.189,High
Sweden,Winter,1972,January,2.681,High
Sweden,Winter,1972,February,3.178,High
Sweden,Spring,1972,March,2.462,High
Sweden,Summer,1972,June,1.359,High
Sweden,Fall,1972,November,1.927,High
Sweden,Winter,1972,December,2.699,High
Switzerland,Winter,1972,February,2.724,High
Switzerland,Spring,1972,March,1.836,High
Uruguay,Summer,1972,June,1.463,High
Uruguay,Summer,1972,July,1.606,High
Yugoslav SFR,Winter,1972,February,2.753,High
Northern Europe,Winter,1972,February,2.643,High
Northern Europe,Spring,1972,March,1.93,High
Afghanistan,Winter,1973,February,2.597,High
Antarctica,Spring,1973,April,1.868,High
Antarctica,Summer,1973,June,1.929,High
Antarctica,Summer,1973,July,1.801,High
Antarctica,Summer,1973,August,2.216,High
Antarctica,Fall,1973,September,2.058,High
Argentina,Summer,1973,July,1.424,High
Austria,Winter,1973,February,2.924,High
Austria,Spring,1973,March,2.054,High
Belgium-Luxembourg,Winter,1973,February,2.905,High
Belgium-Luxembourg,Spring,1973,March,1.844,High
Belgium-Luxembourg,Summer,1973,July,1.397,High
Bulgaria,Winter,1973,February,2.776,High
Bulgaria,Summer,1973,August,1.343,High
Canada,Spring,1973,March,1.875,High
Czechoslovakia,Winter,1973,February,3.13,High
Czechoslovakia,Spring,1973,March,2.322,High
Denmark,Winter,1973,February,2.55,High
Denmark,Spring,1973,March,2.01,High
Finland,Winter,1973,January,3.335,High
Finland,Winter,1973,February,3.566,High
Finland,Spring,1973,March,2.892,High
Finland,Summer,1973,June,1.583,High
Finland,Summer,1973,July,1.38,High
Finland,Fall,1973,October,1.915,High
Finland,Fall,1973,November,2.28,High
Finland,Winter,1973,December,3.499,High
Germany,Winter,1973,February,2.957,High
Germany,Spring,1973,March,2.037,High
Greenland,Spring,1973,March,2.021,High
Hungary,Winter,1973,February,3.171,High
Hungary,Spring,1973,March,2.223,High
Iceland,Spring,1973,March,2.196,High
Liechtenstein,Winter,1973,February,2.814,High
Liechtenstein,Spring,1973,March,1.959,High
Mongolia,Winter,1973,February,3.021,High
Mongolia,Spring,1973,March,1.962,High
Mongolia,Fall,1973,November,2.235,High
Mongolia,Winter,1973,December,2.926,High
Netherlands,Winter,1973,February,2.75,High
Norway,Spring,1973,March,2.1,High
Norway,Summer,1973,June,1.468,High
Paraguay,Summer,1973,June,1.592,High
Paraguay,Summer,1973,July,2.058,High
Paraguay,Summer,1973,August,1.58,High
Poland,Winter,1973,January,2.587,High
Poland,Winter,1973,February,3.375,High
Poland,Spring,1973,March,2.815,High
Poland,Summer,1973,July,1.336,High
Romania,Winter,1973,February,3.065,High
Romania,Spring,1973,March,2.027,High
Romania,Fall,1973,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1973,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1973,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1973,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1973,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1973,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1973,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1973,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1973,December,4.189,High
Sweden,Winter,1973,January,2.681,High
Sweden,Winter,1973,February,3.178,High
Sweden,Spring,1973,March,2.462,High
Sweden,Summer,1973,June,1.359,High
Sweden,Fall,1973,November,1.927,High
Sweden,Winter,1973,December,2.699,High
Switzerland,Winter,1973,February,2.724,High
Switzerland,Spring,1973,March,1.836,High
Uruguay,Summer,1973,June,1.463,High
Uruguay,Summer,1973,July,1.606,High
Yugoslav SFR,Winter,1973,February,2.753,High
Northern Europe,Winter,1973,February,2.643,High
Northern Europe,Spring,1973,March,1.93,High
Afghanistan,Winter,1974,February,2.597,High
Antarctica,Spring,1974,April,1.868,High
Antarctica,Summer,1974,June,1.929,High
Antarctica,Summer,1974,July,1.801,High
Antarctica,Summer,1974,August,2.216,High
Antarctica,Fall,1974,September,2.058,High
Argentina,Summer,1974,July,1.424,High
Austria,Winter,1974,February,2.924,High
Austria,Spring,1974,March,2.054,High
Belgium-Luxembourg,Winter,1974,February,2.905,High
Belgium-Luxembourg,Spring,1974,March,1.844,High
Belgium-Luxembourg,Summer,1974,July,1.397,High
Bulgaria,Winter,1974,February,2.776,High
Bulgaria,Summer,1974,August,1.343,High
Canada,Spring,1974,March,1.875,High
Czechoslovakia,Winter,1974,February,3.13,High
Czechoslovakia,Spring,1974,March,2.322,High
Denmark,Winter,1974,February,2.55,High
Denmark,Spring,1974,March,2.01,High
Finland,Winter,1974,January,3.335,High
Finland,Winter,1974,February,3.566,High
Finland,Spring,1974,March,2.892,High
Finland,Summer,1974,June,1.583,High
Finland,Summer,1974,July,1.38,High
Finland,Fall,1974,October,1.915,High
Finland,Fall,1974,November,2.28,High
Finland,Winter,1974,December,3.499,High
Germany,Winter,1974,February,2.957,High
Germany,Spring,1974,March,2.037,High
Greenland,Spring,1974,March,2.021,High
Hungary,Winter,1974,February,3.171,High
Hungary,Spring,1974,March,2.223,High
Iceland,Spring,1974,March,2.196,High
Liechtenstein,Winter,1974,February,2.814,High
Liechtenstein,Spring,1974,March,1.959,High
Mongolia,Winter,1974,February,3.021,High
Mongolia,Spring,1974,March,1.962,High
Mongolia,Fall,1974,November,2.235,High
Mongolia,Winter,1974,December,2.926,High
Netherlands,Winter,1974,February,2.75,High
Norway,Spring,1974,March,2.1,High
Norway,Summer,1974,June,1.468,High
Paraguay,Summer,1974,June,1.592,High
Paraguay,Summer,1974,July,2.058,High
Paraguay,Summer,1974,August,1.58,High
Poland,Winter,1974,January,2.587,High
Poland,Winter,1974,February,3.375,High
Poland,Spring,1974,March,2.815,High
Poland,Summer,1974,July,1.336,High
Romania,Winter,1974,February,3.065,High
Romania,Spring,1974,March,2.027,High
Romania,Fall,1974,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1974,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1974,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1974,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1974,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1974,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1974,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1974,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1974,December,4.189,High
Sweden,Winter,1974,January,2.681,High
Sweden,Winter,1974,February,3.178,High
Sweden,Spring,1974,March,2.462,High
Sweden,Summer,1974,June,1.359,High
Sweden,Fall,1974,November,1.927,High
Sweden,Winter,1974,December,2.699,High
Switzerland,Winter,1974,February,2.724,High
Switzerland,Spring,1974,March,1.836,High
Uruguay,Summer,1974,June,1.463,High
Uruguay,Summer,1974,July,1.606,High
Yugoslav SFR,Winter,1974,February,2.753,High
Northern Europe,Winter,1974,February,2.643,High
Northern Europe,Spring,1974,March,1.93,High
Afghanistan,Winter,1975,February,2.597,High
Antarctica,Spring,1975,April,1.868,High
Antarctica,Summer,1975,June,1.929,High
Antarctica,Summer,1975,July,1.801,High
Antarctica,Summer,1975,August,2.216,High
Antarctica,Fall,1975,September,2.058,High
Argentina,Summer,1975,July,1.424,High
Austria,Winter,1975,February,2.924,High
Austria,Spring,1975,March,2.054,High
Belgium-Luxembourg,Winter,1975,February,2.905,High
Belgium-Luxembourg,Spring,1975,March,1.844,High
Belgium-Luxembourg,Summer,1975,July,1.397,High
Bulgaria,Winter,1975,February,2.776,High
Bulgaria,Summer,1975,August,1.343,High
Canada,Spring,1975,March,1.875,High
Czechoslovakia,Winter,1975,February,3.13,High
Czechoslovakia,Spring,1975,March,2.322,High
Denmark,Winter,1975,February,2.55,High
Denmark,Spring,1975,March,2.01,High
Finland,Winter,1975,January,3.335,High
Finland,Winter,1975,February,3.566,High
Finland,Spring,1975,March,2.892,High
Finland,Summer,1975,June,1.583,High
Finland,Summer,1975,July,1.38,High
Finland,Fall,1975,October,1.915,High
Finland,Fall,1975,November,2.28,High
Finland,Winter,1975,December,3.499,High
Germany,Winter,1975,February,2.957,High
Germany,Spring,1975,March,2.037,High
Greenland,Spring,1975,March,2.021,High
Hungary,Winter,1975,February,3.171,High
Hungary,Spring,1975,March,2.223,High
Iceland,Spring,1975,March,2.196,High
Liechtenstein,Winter,1975,February,2.814,High
Liechtenstein,Spring,1975,March,1.959,High
Mongolia,Winter,1975,February,3.021,High
Mongolia,Spring,1975,March,1.962,High
Mongolia,Fall,1975,November,2.235,High
Mongolia,Winter,1975,December,2.926,High
Netherlands,Winter,1975,February,2.75,High
Norway,Spring,1975,March,2.1,High
Norway,Summer,1975,June,1.468,High
Paraguay,Summer,1975,June,1.592,High
Paraguay,Summer,1975,July,2.058,High
Paraguay,Summer,1975,August,1.58,High
Poland,Winter,1975,January,2.587,High
Poland,Winter,1975,February,3.375,High
Poland,Spring,1975,March,2.815,High
Poland,Summer,1975,July,1.336,High
Romania,Winter,1975,February,3.065,High
Romania,Spring,1975,March,2.027,High
Romania,Fall,1975,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1975,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1975,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1975,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1975,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1975,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1975,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1975,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1975,December,4.189,High
Sweden,Winter,1975,January,2.681,High
Sweden,Winter,1975,February,3.178,High
Sweden,Spring,1975,March,2.462,High
Sweden,Summer,1975,June,1.359,High
Sweden,Fall,1975,November,1.927,High
Sweden,Winter,1975,December,2.699,High
Switzerland,Winter,1975,February,2.724,High
Switzerland,Spring,1975,March,1.836,High
Uruguay,Summer,1975,June,1.463,High
Uruguay,Summer,1975,July,1.606,High
Yugoslav SFR,Winter,1975,February,2.753,High
Northern Europe,Winter,1975,February,2.643,High
Northern Europe,Spring,1975,March,1.93,High
Afghanistan,Winter,1976,February,2.597,High
Antarctica,Spring,1976,April,1.868,High
Antarctica,Summer,1976,June,1.929,High
Antarctica,Summer,1976,July,1.801,High
Antarctica,Summer,1976,August,2.216,High
Antarctica,Fall,1976,September,2.058,High
Argentina,Summer,1976,July,1.424,High
Austria,Winter,1976,February,2.924,High
Austria,Spring,1976,March,2.054,High
Belgium-Luxembourg,Winter,1976,February,2.905,High
Belgium-Luxembourg,Spring,1976,March,1.844,High
Belgium-Luxembourg,Summer,1976,July,1.397,High
Bulgaria,Winter,1976,February,2.776,High
Bulgaria,Summer,1976,August,1.343,High
Canada,Spring,1976,March,1.875,High
Czechoslovakia,Winter,1976,February,3.13,High
Czechoslovakia,Spring,1976,March,2.322,High
Denmark,Winter,1976,February,2.55,High
Denmark,Spring,1976,March,2.01,High
Finland,Winter,1976,January,3.335,High
Finland,Winter,1976,February,3.566,High
Finland,Spring,1976,March,2.892,High
Finland,Summer,1976,June,1.583,High
Finland,Summer,1976,July,1.38,High
Finland,Fall,1976,October,1.915,High
Finland,Fall,1976,November,2.28,High
Finland,Winter,1976,December,3.499,High
Germany,Winter,1976,February,2.957,High
Germany,Spring,1976,March,2.037,High
Greenland,Spring,1976,March,2.021,High
Hungary,Winter,1976,February,3.171,High
Hungary,Spring,1976,March,2.223,High
Iceland,Spring,1976,March,2.196,High
Liechtenstein,Winter,1976,February,2.814,High
Liechtenstein,Spring,1976,March,1.959,High
Mongolia,Winter,1976,February,3.021,High
Mongolia,Spring,1976,March,1.962,High
Mongolia,Fall,1976,November,2.235,High
Mongolia,Winter,1976,December,2.926,High
Netherlands,Winter,1976,February,2.75,High
Norway,Spring,1976,March,2.1,High
Norway,Summer,1976,June,1.468,High
Paraguay,Summer,1976,June,1.592,High
Paraguay,Summer,1976,July,2.058,High
Paraguay,Summer,1976,August,1.58,High
Poland,Winter,1976,January,2.587,High
Poland,Winter,1976,February,3.375,High
Poland,Spring,1976,March,2.815,High
Poland,Summer,1976,July,1.336,High
Romania,Winter,1976,February,3.065,High
Romania,Spring,1976,March,2.027,High
Romania,Fall,1976,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1976,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1976,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1976,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1976,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1976,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1976,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1976,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1976,December,4.189,High
Sweden,Winter,1976,January,2.681,High
Sweden,Winter,1976,February,3.178,High
Sweden,Spring,1976,March,2.462,High
Sweden,Summer,1976,June,1.359,High
Sweden,Fall,1976,November,1.927,High
Sweden,Winter,1976,December,2.699,High
Switzerland,Winter,1976,February,2.724,High
Switzerland,Spring,1976,March,1.836,High
Uruguay,Summer,1976,June,1.463,High
Uruguay,Summer,1976,July,1.606,High
Yugoslav SFR,Winter,1976,February,2.753,High
Northern Europe,Winter,1976,February,2.643,High
Northern Europe,Spring,1976,March,1.93,High
Afghanistan,Winter,1977,February,2.597,High
Antarctica,Spring,1977,April,1.868,High
Antarctica,Summer,1977,June,1.929,High
Antarctica,Summer,1977,July,1.801,High
Antarctica,Summer,1977,August,2.216,High
Antarctica,Fall,1977,September,2.058,High
Argentina,Summer,1977,July,1.424,High
Austria,Winter,1977,February,2.924,High
Austria,Spring,1977,March,2.054,High
Belgium-Luxembourg,Winter,1977,February,2.905,High
Belgium-Luxembourg,Spring,1977,March,1.844,High
Belgium-Luxembourg,Summer,1977,July,1.397,High
Bulgaria,Winter,1977,February,2.776,High
Bulgaria,Summer,1977,August,1.343,High
Canada,Spring,1977,March,1.875,High
Czechoslovakia,Winter,1977,February,3.13,High
Czechoslovakia,Spring,1977,March,2.322,High
Denmark,Winter,1977,February,2.55,High
Denmark,Spring,1977,March,2.01,High
Finland,Winter,1977,January,3.335,High
Finland,Winter,1977,February,3.566,High
Finland,Spring,1977,March,2.892,High
Finland,Summer,1977,June,1.583,High
Finland,Summer,1977,July,1.38,High
Finland,Fall,1977,October,1.915,High
Finland,Fall,1977,November,2.28,High
Finland,Winter,1977,December,3.499,High
Germany,Winter,1977,February,2.957,High
Germany,Spring,1977,March,2.037,High
Greenland,Spring,1977,March,2.021,High
Hungary,Winter,1977,February,3.171,High
Hungary,Spring,1977,March,2.223,High
Iceland,Spring,1977,March,2.196,High
Liechtenstein,Winter,1977,February,2.814,High
Liechtenstein,Spring,1977,March,1.959,High
Mongolia,Winter,1977,February,3.021,High
Mongolia,Spring,1977,March,1.962,High
Mongolia,Fall,1977,November,2.235,High
Mongolia,Winter,1977,December,2.926,High
Netherlands,Winter,1977,February,2.75,High
Norway,Spring,1977,March,2.1,High
Norway,Summer,1977,June,1.468,High
Paraguay,Summer,1977,June,1.592,High
Paraguay,Summer,1977,July,2.058,High
Paraguay,Summer,1977,August,1.58,High
Poland,Winter,1977,January,2.587,High
Poland,Winter,1977,February,3.375,High
Poland,Spring,1977,March,2.815,High
Poland,Summer,1977,July,1.336,High
Romania,Winter,1977,February,3.065,High
Romania,Spring,1977,March,2.027,High
Romania,Fall,1977,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1977,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1977,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1977,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1977,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1977,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1977,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1977,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1977,December,4.189,High
Sweden,Winter,1977,January,2.681,High
Sweden,Winter,1977,February,3.178,High
Sweden,Spring,1977,March,2.462,High
Sweden,Summer,1977,June,1.359,High
Sweden,Fall,1977,November,1.927,High
Sweden,Winter,1977,December,2.699,High
Switzerland,Winter,1977,February,2.724,High
Switzerland,Spring,1977,March,1.836,High
Uruguay,Summer,1977,June,1.463,High
Uruguay,Summer,1977,July,1.606,High
Yugoslav SFR,Winter,1977,February,2.753,High
Northern Europe,Winter,1977,February,2.643,High
Northern Europe,Spring,1977,March,1.93,High
Afghanistan,Winter,1978,February,2.597,High
Antarctica,Spring,1978,April,1.868,High
Antarctica,Summer,1978,June,1.929,High
Antarctica,Summer,1978,July,1.801,High
Antarctica,Summer,1978,August,2.216,High
Antarctica,Fall,1978,September,2.058,High
Argentina,Summer,1978,July,1.424,High
Austria,Winter,1978,February,2.924,High
Austria,Spring,1978,March,2.054,High
Belgium-Luxembourg,Winter,1978,February,2.905,High
Belgium-Luxembourg,Spring,1978,March,1.844,High
Belgium-Luxembourg,Summer,1978,July,1.397,High
Bulgaria,Winter,1978,February,2.776,High
Bulgaria,Summer,1978,August,1.343,High
Canada,Spring,1978,March,1.875,High
Czechoslovakia,Winter,1978,February,3.13,High
Czechoslovakia,Spring,1978,March,2.322,High
Denmark,Winter,1978,February,2.55,High
Denmark,Spring,1978,March,2.01,High
Finland,Winter,1978,January,3.335,High
Finland,Winter,1978,February,3.566,High
Finland,Spring,1978,March,2.892,High
Finland,Summer,1978,June,1.583,High
Finland,Summer,1978,July,1.38,High
Finland,Fall,1978,October,1.915,High
Finland,Fall,1978,November,2.28,High
Finland,Winter,1978,December,3.499,High
Germany,Winter,1978,February,2.957,High
Germany,Spring,1978,March,2.037,High
Greenland,Spring,1978,March,2.021,High
Hungary,Winter,1978,February,3.171,High
Hungary,Spring,1978,March,2.223,High
Iceland,Spring,1978,March,2.196,High
