Area,Season,Year,Months,Temperature Change,Outlier Type
Svalbard and Jan Mayen Islands,Spring,1974,March,6.63,High
Svalbard and Jan Mayen Islands,Fall,1974,November,2.587,High
Svalbard and Jan Mayen Islands,Winter,1974,December,4.316,High
Sweden,Winter,1974,January,4.585,High
Sweden,Winter,1974,February,4.82,High
Switzerland,Winter,1974,January,3.371,High
Switzerland,Fall,1974,October,-4.732,Low
Turkey,Winter,1974,January,-3.16,Low
Turkey,Fall,1974,October,3.007,High
United Kingdom,Fall,1974,October,-2.459,Low
Western Sahara,Spring,1974,March,-2.339,Low
Western Sahara,Spring,1974,April,-2.14,Low
Yugoslav SFR,Winter,1974,February,3.064,High
Yugoslav SFR,Fall,1974,October,-2.432,Low
Northern Europe,Winter,1974,January,3.57,High
Northern Europe,Winter,1974,February,3.903,High
Southern Europe,Fall,1974,October,-2.389,Low
Western Europe,Winter,1974,January,3.29,High
Western Europe,Fall,1974,October,-3.848,Low
Western Europe,Winter,1974,December,2.95,High
European Union,Fall,1974,October,-2.122,Low
Afghanistan,Fall,1975,November,-1.748,Low
Andorra,Spring,1975,March,-1.846,Low
Antarctica,Spring,1975,May,2.783,High
Antarctica,Summer,1975,June,-2.234,Low
Antarctica,Summer,1975,August,-1.906,Low
Austria,Winter,1975,January,4.242,High
Austria,Fall,1975,September,2.564,High
Bahrain,Fall,1975,October,-1.872,Low
Belgium-Luxembourg,Winter,1975,January,4.346,High
Belgium-Luxembourg,Summer,1975,August,2.721,High
Bulgaria,Spring,1975,March,3.191,High
Bulgaria,Fall,1975,November,-2.323,Low
"China, Hong Kong SAR",Winter,1975,December,-3.265,Low
"China, Macao SAR",Winter,1975,December,-3.265,Low
Czechoslovakia,Winter,1975,January,4.794,High
Czechoslovakia,Fall,1975,September,2.759,High
Denmark,Winter,1975,January,5.124,High
Denmark,Summer,1975,August,3.124,High
Finland,Winter,1975,January,4.112,High
Finland,Winter,1975,February,4.832,High
Finland,Spring,1975,March,4.4,High
France,Winter,1975,January,2.95,High
Germany,Winter,1975,January,4.941,High
Greenland,Winter,1975,January,-4.37,Low
Greenland,Spring,1975,March,-1.859,Low
Greenland,Winter,1975,December,-2.236,Low
Hungary,Winter,1975,January,4.096,High
Hungary,Fall,1975,November,-1.801,Low
Iceland,Winter,1975,January,-2.11,Low
Iceland,Summer,1975,June,-1.569,Low
Iceland,Fall,1975,September,-2.004,Low
Lao People's Democratic Republic,Winter,1975,December,-2.507,Low
Liechtenstein,Winter,1975,January,3.759,High
Mauritania,Fall,1975,November,-2.052,Low
Morocco,Spring,1975,May,-1.938,Low
Netherlands,Winter,1975,January,4.705,High
Netherlands,Summer,1975,August,3.087,High
Niger,Winter,1975,January,-2.76,Low
Norway,Winter,1975,January,3.167,High
Norway,Winter,1975,February,3.342,High
Norway,Summer,1975,June,-1.775,Low
Poland,Winter,1975,January,6.15,High
Poland,Spring,1975,March,2.931,High
Poland,Fall,1975,September,2.665,High
Poland,Fall,1975,November,-1.971,Low
Qatar,Fall,1975,October,-1.848,Low
Romania,Winter,1975,January,3.272,High
Romania,Spring,1975,March,3.458,High
Romania,Fall,1975,November,-2.425,Low
Saint Pierre and Miquelon,Winter,1975,January,-2.594,Low
Saint Pierre and Miquelon,Winter,1975,February,-5.498,Low
Svalbard and Jan Mayen Islands,Winter,1975,February,3.044,High
Svalbard and Jan Mayen Islands,Fall,1975,October,-2.133,Low
Svalbard and Jan Mayen Islands,Winter,1975,December,-6.169,Low
Sweden,Winter,1975,January,4.323,High
Sweden,Winter,1975,February,4.545,High
Switzerland,Winter,1975,January,3.602,High
Turkey,Winter,1975,December,-2.662,Low
United States of America,Spring,1975,April,-2.023,Low
USSR,Fall,1975,November,-1.743,Low
Viet Nam,Winter,1975,December,-2.389,Low
Western Sahara,Spring,1975,May,-2.441,Low
Eastern Europe,Fall,1975,November,-1.755,Low
Northern Europe,Winter,1975,January,3.225,High
Northern Europe,Winter,1975,February,3.463,High
Western Europe,Winter,1975,January,3.823,High
European Union,Winter,1975,January,3.125,High
Afghanistan,Spring,1976,March,-2.817,Low
Afghanistan,Fall,1976,November,-2.158,Low
Albania,Summer,1976,August,-3.241,Low
Albania,Fall,1976,September,-1.763,Low
Algeria,Spring,1976,March,-2.27,Low
Andorra,Summer,1976,June,2.903,High
Antarctica,Spring,1976,April,-2.278,Low
Antarctica,Summer,1976,August,-3.233,Low
Argentina,Spring,1976,March,-2.035,Low
Austria,Spring,1976,March,-1.921,Low
Austria,Summer,1976,August,-1.893,Low
Bahrain,Spring,1976,March,-2.832,Low
Belgium-Luxembourg,Summer,1976,June,2.924,High
Belgium-Luxembourg,Summer,1976,July,2.962,High
Bulgaria,Winter,1976,February,-2.464,Low
Bulgaria,Summer,1976,August,-3.468,Low
Channel Islands,Summer,1976,June,3.283,High
China,Fall,1976,November,-1.813,Low
"China, Hong Kong SAR",Fall,1976,November,-2.796,Low
"China, Macao SAR",Fall,1976,November,-2.796,Low
"China, mainland",Fall,1976,November,-1.812,Low
"China, Taiwan Province of",Fall,1976,November,-1.965,Low
Cyprus,Winter,1976,February,-2.348,Low
Czechoslovakia,Spring,1976,March,-2.524,Low
Czechoslovakia,Summer,1976,August,-1.899,Low
Democratic People's Republic of Korea,Winter,1976,February,3.814,High
Democratic People's Republic of Korea,Summer,1976,August,-1.564,Low
Democratic People's Republic of Korea,Fall,1976,November,-3.281,Low
Denmark,Spring,1976,March,-1.984,Low
Finland,Winter,1976,January,-4.263,Low
Finland,Summer,1976,June,-1.976,Low
Finland,Fall,1976,September,-2.411,Low
Finland,Fall,1976,October,-2.858,Low
France,Summer,1976,June,3.046,High
Germany,Spring,1976,March,-1.891,Low
Greece,Summer,1976,August,-2.641,Low
Greenland,Winter,1976,January,-2.06,Low
Holy See,Summer,1976,August,-2.188,Low
Holy See,Fall,1976,September,-1.729,Low
Hungary,Spring,1976,March,-2.806,Low
Hungary,Summer,1976,August,-2.387,Low
Iran (Islamic Republic of),Winter,1976,February,-2.088,Low
Iran (Islamic Republic of),Spring,1976,March,-2.952,Low
Iraq,Spring,1976,March,-2.059,Low
Ireland,Winter,1976,December,-2.651,Low
Isle of Man,Winter,1976,December,-2.676,Low
Italy,Summer,1976,August,-2.132,Low
Italy,Fall,1976,September,-1.779,Low
Jordan,Summer,1976,August,-1.576,Low
Kuwait,Spring,1976,March,-2.665,Low
Lebanon,Winter,1976,February,-2.037,Low
Libya,Spring,1976,March,-2.12,Low
Liechtenstein,Summer,1976,August,-1.782,Low
Liechtenstein,Fall,1976,September,-1.71,Low
Mali,Spring,1976,March,-1.937,Low
Mauritania,Winter,1976,January,-2.19,Low
Mauritania,Winter,1976,February,-2.304,Low
Monaco,Fall,1976,September,-1.973,Low
Mongolia,Winter,1976,February,5.049,High
Mongolia,Fall,1976,November,-3.407,Low
Netherlands,Summer,1976,July,2.659,High
New Zealand,Winter,1976,February,-2.297,Low
Norway,Fall,1976,September,-2.222,Low
Norway,Winter,1976,December,-2.089,Low
Pakistan,Spring,1976,March,-1.834,Low
Paraguay,Fall,1976,September,-1.781,Low
Poland,Spring,1976,March,-2.223,Low
Poland,Summer,1976,August,-1.615,Low
Portugal,Summer,1976,June,2.651,High
Portugal,Fall,1976,October,-2.045,Low
Portugal,Fall,1976,November,-1.744,Low
Qatar,Spring,1976,March,-2.912,Low
Republic of Korea,Winter,1976,February,3.024,High
Republic of Korea,Summer,1976,July,-1.849,Low
Republic of Korea,Fall,1976,November,-2.523,Low
Romania,Winter,1976,February,-3.048,Low
Romania,Spring,1976,March,-1.884,Low
Romania,Summer,1976,June,-1.7,Low
Romania,Summer,1976,August,-3.161,Low
San Marino,Summer,1976,August,-2.997,Low
San Marino,Fall,1976,September,-2.017,Low
South Georgia and the South Sandwich Islands,Summer,1976,June,-1.753,Low
Svalbard and Jan Mayen Islands,Winter,1976,February,3.179,High
Svalbard and Jan Mayen Islands,Spring,1976,March,7.689,High
Svalbard and Jan Mayen Islands,Winter,1976,December,3.281,High
Sweden,Winter,1976,January,-2.205,Low
Sweden,Fall,1976,September,-2.184,Low
Syrian Arab Republic,Winter,1976,February,-2.291,Low
Tunisia,Spring,1976,March,-1.962,Low
Tunisia,Fall,1976,November,-1.845,Low
Turkey,Winter,1976,February,-4.027,Low
United Arab Emirates,Spring,1976,March,-2.685,Low
United Kingdom,Winter,1976,December,-2.475,Low
United States of America,Fall,1976,October,-1.853,Low
Uruguay,Spring,1976,March,-1.953,Low
USSR,Winter,1976,February,-3.062,Low
USSR,Spring,1976,March,-1.959,Low
USSR,Fall,1976,October,-2.525,Low
Western Sahara,Spring,1976,May,-2.699,Low
Western Sahara,Summer,1976,July,-3.125,Low
Yugoslav SFR,Spring,1976,March,-2.21,Low
Yugoslav SFR,Summer,1976,August,-3.091,Low
Zimbabwe,Summer,1976,August,-1.818,Low
Eastern Asia,Fall,1976,November,-2.039,Low
Europe,Winter,1976,February,-2.429,Low
Europe,Spring,1976,March,-1.829,Low
Europe,Fall,1976,October,-2.128,Low
Eastern Europe,Winter,1976,February,-3.002,Low
Eastern Europe,Spring,1976,March,-1.966,Low
Eastern Europe,Fall,1976,October,-2.428,Low
Annex I countries,Fall,1976,October,-1.693,Low
Afghanistan,Winter,1977,January,-3.014,Low
Afghanistan,Spring,1977,March,3.377,High
Albania,Winter,1977,February,3.226,High
Andorra,Summer,1977,July,-1.707,Low
Andorra,Summer,1977,August,-1.83,Low
Antarctica,Summer,1977,July,2.749,High
Antarctica,Fall,1977,September,-2.912,Low
Antarctica,Fall,1977,October,-2.992,Low
Austria,Spring,1977,March,3.488,High
Bulgaria,Winter,1977,February,4.875,High
Bulgaria,Winter,1977,December,-2.916,Low
Canada,Winter,1977,January,3.095,High
Canada,Winter,1977,February,3.46,High
Canada,Spring,1977,March,2.919,High
Canada,Winter,1977,December,-2.114,Low
Channel Islands,Summer,1977,June,-1.634,Low
China,Winter,1977,January,-2.068,Low
"China, Hong Kong SAR",Winter,1977,January,-2.762,Low
"China, Macao SAR",Winter,1977,January,-2.762,Low
"China, mainland",Winter,1977,January,-2.075,Low
Cyprus,Fall,1977,October,-1.683,Low
Czechoslovakia,Spring,1977,March,3.649,High
Czechoslovakia,Fall,1977,September,-1.921,Low
Democratic People's Republic of Korea,Winter,1977,January,-3.133,Low
Egypt,Fall,1977,October,-1.798,Low
Germany,Spring,1977,March,2.842,High
Gibraltar,Summer,1977,June,-1.659,Low
Gibraltar,Summer,1977,July,-2.019,Low
Gibraltar,Summer,1977,August,-2.111,Low
Hungary,Winter,1977,February,3.68,High
Hungary,Spring,1977,March,3.59,High
Hungary,Fall,1977,September,-2.087,Low
Iceland,Fall,1977,November,-2.127,Low
Iran (Islamic Republic of),Winter,1977,January,-3.281,Low
Iran (Islamic Republic of),Spring,1977,March,3.068,High
Iraq,Winter,1977,January,-2.565,Low
Iraq,Fall,1977,October,-2.049,Low
Israel,Fall,1977,October,-1.717,Low
Japan,Winter,1977,January,-2.108,Low
Jordan,Fall,1977,October,-2.061,Low
Kuwait,Winter,1977,January,-2.148,Low
Lebanon,Fall,1977,October,-1.865,Low
Liechtenstein,Spring,1977,March,3.048,High
Midway Island,Fall,1977,November,-1.686,Low
Monaco,Summer,1977,August,-1.614,Low
Mongolia,Winter,1977,January,-4.605,Low
Morocco,Summer,1977,July,-1.926,Low
Nepal,Spring,1977,May,-2.095,Low
New Zealand,Fall,1977,September,-1.672,Low
Niger,Spring,1977,March,-2.531,Low
Norway,Spring,1977,April,-2.145,Low
Oman,Spring,1977,March,3.194,High
Palestine,Fall,1977,October,-1.713,Low
Paraguay,Summer,1977,July,3.192,High
Pitcairn Islands,Spring,1977,May,-1.84,Low
Poland,Spring,1977,March,3.527,High
Poland,Fall,1977,September,-2.047,Low
Portugal,Summer,1977,June,-2.397,Low
Portugal,Summer,1977,July,-2.276,Low
Portugal,Summer,1977,August,-2.131,Low
Republic of Korea,Winter,1977,January,-2.929,Low
Republic of Korea,Summer,1977,August,-1.582,Low
Romania,Winter,1977,February,4.82,High
Romania,Spring,1977,March,2.835,High
Romania,Fall,1977,September,-1.918,Low
Romania,Winter,1977,December,-2.835,Low
San Marino,Fall,1977,September,-2.289,Low
Spain,Summer,1977,June,-1.757,Low
Spain,Summer,1977,July,-2.182,Low
Spain,Summer,1977,August,-2.105,Low
Svalbard and Jan Mayen Islands,Winter,1977,January,3.756,High
Svalbard and Jan Mayen Islands,Spring,1977,March,-6.495,Low
Svalbard and Jan Mayen Islands,Spring,1977,April,-4.076,Low
Svalbard and Jan Mayen Islands,Fall,1977,November,2.63,High
Sweden,Spring,1977,April,-1.813,Low
Syrian Arab Republic,Winter,1977,February,2.963,High
Syrian Arab Republic,Fall,1977,October,-2.198,Low
Turkey,Winter,1977,February,3.415,High
Turkey,Fall,1977,October,-2.533,Low
USSR,Winter,1977,January,-2.959,Low
Yugoslav SFR,Winter,1977,February,3.956,High
Yugoslav SFR,Spring,1977,March,3.048,High
Yugoslav SFR,Fall,1977,September,-1.789,Low
Eastern Asia,Winter,1977,January,-2.425,Low
Europe,Winter,1977,January,-2.321,Low
Eastern Europe,Winter,1977,January,-2.789,Low
Albania,Fall,1978,September,-2.113,Low
Albania,Fall,1978,November,-3.09,Low
Antarctica,Spring,1978,April,4.152,High
Antarctica,Summer,1978,August,-2.72,Low
Botswana,Summer,1978,August,2.832,High
Bulgaria,Fall,1978,November,-2.506,Low
Canada,Fall,1978,October,-1.713,Low
Canada,Fall,1978,November,-2.36,Low
Cyprus,Fall,1978,November,-1.994,Low
Czechoslovakia,Summer,1978,July,-1.683,Low
Denmark,Winter,1978,December,-2.809,Low
Egypt,Summer,1978,August,-1.586,Low
Egypt,Fall,1978,November,-2.546,Low
Eswatini,Summer,1978,August,2.776,High
Finland,Winter,1978,February,-3.743,Low
Finland,Winter,1978,December,-8.228,Low
Gibraltar,Summer,1978,June,-2.089,Low
Greece,Fall,1978,September,-1.719,Low
Greece,Fall,1978,November,-2.437,Low
Greenland,Winter,1978,January,-2.328,Low
Greenland,Spring,1978,March,-1.812,Low
Greenland,Fall,1978,November,-3.239,Low
Greenland,Winter,1978,December,5.956,High
Holy See,Fall,1978,November,-1.708,Low
Hungary,Summer,1978,July,-1.673,Low
Hungary,Fall,1978,November,-2.662,Low
Iran (Islamic Republic of),Fall,1978,November,-1.933,Low
Iraq,Fall,1978,November,-3.587,Low
Israel,Fall,1978,November,-2.316,Low
Jordan,Summer,1978,August,-1.608,Low
Jordan,Fall,1978,November,-2.883,Low
Kuwait,Fall,1978,November,-2.917,Low
Lebanon,Fall,1978,November,-2.396,Low
Libya,Fall,1978,November,-2.384,Low
Malta,Fall,1978,November,-1.758,Low
Nepal,Spring,1978,March,-1.899,Low
Norway,Winter,1978,December,-5.463,Low
Pakistan,Summer,1978,July,-1.56,Low
Palestine,Fall,1978,November,-2.286,Low
Paraguay,Summer,1978,July,3.822,High
Poland,Summer,1978,July,-1.673,Low
Poland,Fall,1978,September,-2.09,Low
Poland,Winter,1978,December,-2.627,Low
Portugal,Summer,1978,June,-2.229,Low
Portugal,Fall,1978,September,2.692,High
Romania,Summer,1978,August,-1.604,Low
Romania,Fall,1978,November,-1.765,Low
Saint Pierre and Miquelon,Fall,1978,November,-2.441,Low
San Marino,Fall,1978,November,-1.936,Low
Saudi Arabia,Fall,1978,November,-2.58,Low
South Georgia and the South Sandwich Islands,Spring,1978,May,-1.92,Low
South Georgia and the South Sandwich Islands,Summer,1978,August,2.806,High
South Georgia and the South Sandwich Islands,Fall,1978,September,3.196,High
Spain,Summer,1978,June,-1.649,Low
Svalbard and Jan Mayen Islands,Winter,1978,January,-4.467,Low
Svalbard and Jan Mayen Islands,Winter,1978,February,-4.794,Low
Svalbard and Jan Mayen Islands,Fall,1978,November,-1.674,Low
Sweden,Winter,1978,February,-2.605,Low
Sweden,Winter,1978,December,-6.373,Low
Syrian Arab Republic,Fall,1978,November,-2.788,Low
Tunisia,Fall,1978,October,-1.891,Low
Turkey,Fall,1978,November,-2.498,Low
Western Sahara,Summer,1978,June,-1.548,Low
Yugoslav SFR,Fall,1978,September,-1.689,Low
Yugoslav SFR,Fall,1978,November,-2.99,Low
Western Asia,Fall,1978,November,-2.043,Low
Northern Europe,Winter,1978,February,-2.319,Low
Northern Europe,Winter,1978,December,-4.804,Low
Afghanistan,Spring,1979,May,-2.53,Low
Algeria,Winter,1979,January,3.128,High
Antarctica,Spring,1979,April,3.158,High
Antarctica,Spring,1979,May,-2.965,Low
Antarctica,Summer,1979,July,-3.255,Low
Austria,Winter,1979,January,-2.23,Low
Austria,Winter,1979,December,3.109,High
Belgium-Luxembourg,Winter,1979,January,-4.486,Low
Canada,Winter,1979,February,-6.319,Low
Channel Islands,Winter,1979,January,-3.09,Low
Czechoslovakia,Winter,1979,January,-2.174,Low
Czechoslovakia,Summer,1979,July,-2.025,Low
Czechoslovakia,Winter,1979,December,3.264,High
Democratic People's Republic of Korea,Winter,1979,January,3.675,High
Denmark,Winter,1979,January,-3.809,Low
Denmark,Winter,1979,February,-3.133,Low
Denmark,Summer,1979,July,-1.774,Low
Faroe Islands,Winter,1979,January,-2.437,Low
Faroe Islands,Spring,1979,March,-2.673,Low
Faroe Islands,Spring,1979,May,-2.299,Low
Finland,Winter,1979,January,-2.84,Low
France,Winter,1979,January,-2.285,Low
Germany,Winter,1979,January,-3.92,Low
Greenland,Spring,1979,May,-1.92,Low
Hungary,Summer,1979,July,-1.797,Low
Hungary,Winter,1979,December,3.009,High
Iceland,Winter,1979,January,-3.109,Low
Iceland,Spring,1979,March,-4.296,Low
Iceland,Spring,1979,May,-4.217,Low
Iceland,Fall,1979,September,-2.283,Low
Ireland,Winter,1979,January,-2.488,Low
Ireland,Spring,1979,May,-1.848,Low
Isle of Man,Winter,1979,January,-3.043,Low
Kuwait,Winter,1979,February,2.947,High
Liechtenstein,Winter,1979,January,-2.32,Low
Mali,Winter,1979,January,3.178,High
Mongolia,Winter,1979,February,5.483,High
Mongolia,Fall,1979,October,3.077,High
Netherlands,Winter,1979,January,-4.78,Low
Netherlands,Winter,1979,February,-2.896,Low
Norway,Winter,1979,January,-4.006,Low
Pakistan,Spring,1979,March,-2.117,Low
Paraguay,Summer,1979,August,2.606,High
Poland,Winter,1979,January,-2.624,Low
Poland,Winter,1979,February,-2.154,Low
Poland,Summer,1979,July,-2.757,Low
Republic of Korea,Winter,1979,January,3.312,High
Romania,Summer,1979,July,-1.909,Low
Romania,Fall,1979,October,-1.716,Low
Svalbard and Jan Mayen Islands,Winter,1979,January,-4.479,Low
Svalbard and Jan Mayen Islands,Winter,1979,February,-4.909,Low
Svalbard and Jan Mayen Islands,Spring,1979,April,-4.382,Low
Svalbard and Jan Mayen Islands,Spring,1979,May,-3.377,Low
Svalbard and Jan Mayen Islands,Summer,1979,June,-1.903,Low
Svalbard and Jan Mayen Islands,Fall,1979,November,2.537,High
Sweden,Winter,1979,January,-4.275,Low
Sweden,Winter,1979,February,-2.046,Low
Switzerland,Winter,1979,January,-2.305,Low
United Kingdom,Winter,1979,January,-3.143,Low
United States of America,Winter,1979,January,-2.283,Low
United States of America,Winter,1979,February,-3.498,Low
Americas,Winter,1979,February,-2.296,Low
Northern America,Winter,1979,February,-4.867,Low
Northern Europe,Winter,1979,January,-3.582,Low
Western Europe,Winter,1979,January,-2.969,Low
OECD,Winter,1979,February,-2.679,Low
Albania,Spring,1980,April,-1.882,Low
Albania,Spring,1980,May,-2.036,Low
Andorra,Summer,1980,July,-1.737,Low
Antarctica,Fall,1980,November,3.14,High
Austria,Spring,1980,April,-2.22,Low
Austria,Spring,1980,May,-1.834,Low
Belgium-Luxembourg,Summer,1980,July,-1.717,Low
Bulgaria,Winter,1980,January,-2.337,Low
Canada,Winter,1980,December,-2.888,Low
"China, Hong Kong SAR",Winter,1980,February,-2.491,Low
"China, Macao SAR",Winter,1980,February,-2.491,Low
Czechoslovakia,Winter,1980,January,-2.074,Low
Czechoslovakia,Spring,1980,April,-2.125,Low
Czechoslovakia,Spring,1980,May,-2.333,Low
Democratic People's Republic of Korea,Summer,1980,August,-1.675,Low
Democratic People's Republic of Korea,Fall,1980,November,2.528,High
Democratic People's Republic of Korea,Winter,1980,December,-2.93,Low
Denmark,Winter,1980,January,-2.096,Low
Faroe Islands,Fall,1980,October,-2.054,Low
Finland,Spring,1980,March,-2.136,Low
Finland,Summer,1980,June,2.61,High
Finland,Fall,1980,November,-3.872,Low
France,Summer,1980,July,-1.777,Low
French Southern and Antarctic Territories,Summer,1980,June,2.536,High
Germany,Summer,1980,July,-1.542,Low
Greenland,Winter,1980,January,4.519,High
Greenland,Spring,1980,March,4.125,High
Holy See,Spring,1980,April,-2.003,Low
Holy See,Spring,1980,May,-2.37,Low
Holy See,Summer,1980,July,-1.743,Low
Holy See,Winter,1980,December,-2.447,Low
Hungary,Winter,1980,January,-2.088,Low
Hungary,Spring,1980,April,-2.203,Low
Hungary,Spring,1980,May,-2.302,Low
Hungary,Fall,1980,November,-1.688,Low
Iceland,Fall,1980,October,-2.514,Low
Italy,Spring,1980,April,-1.849,Low
Italy,Spring,1980,May,-2.069,Low
Japan,Summer,1980,August,-1.912,Low
Liechtenstein,Spring,1980,April,-2.175,Low
Liechtenstein,Summer,1980,July,-1.652,Low
Malta,Spring,1980,May,-1.888,Low
Malta,Summer,1980,July,-1.616,Low
Monaco,Spring,1980,May,-1.82,Low
Monaco,Summer,1980,July,-2.032,Low
Mongolia,Spring,1980,March,-2.312,Low
Mongolia,Spring,1980,April,-2.134,Low
Mongolia,Fall,1980,November,3.628,High
Norway,Fall,1980,October,-2.175,Low
Norway,Fall,1980,November,-2.855,Low
Paraguay,Fall,1980,September,-2.345,Low
Poland,Winter,1980,January,-2.252,Low
Poland,Spring,1980,May,-2.769,Low
Republic of Korea,Summer,1980,July,-1.838,Low
Republic of Korea,Summer,1980,August,-3.048,Low
Republic of Korea,Winter,1980,December,-2.581,Low
Romania,Winter,1980,January,-2.389,Low
Romania,Spring,1980,May,-1.925,Low
San Marino,Spring,1980,April,-2.123,Low
San Marino,Spring,1980,May,-2.3,Low
South Georgia and the South Sandwich Islands,Summer,1980,July,-2.078,Low
South Georgia and the South Sandwich Islands,Summer,1980,August,-2.094,Low
Svalbard and Jan Mayen Islands,Fall,1980,October,-2.067,Low
Svalbard and Jan Mayen Islands,Fall,1980,November,-5.273,Low
Svalbard and Jan Mayen Islands,Winter,1980,December,-5.784,Low
Sweden,Winter,1980,January,-2.069,Low
Sweden,Winter,1980,February,-2.474,Low
Sweden,Spring,1980,March,-2.201,Low
Sweden,Fall,1980,November,-3.307,Low
Switzerland,Spring,1980,April,-1.856,Low
Switzerland,Summer,1980,July,-1.998,Low
Uruguay,Spring,1980,April,3.311,High
Yugoslav SFR,Spring,1980,April,-2.136,Low
Yugoslav SFR,Spring,1980,May,-2.099,Low
Northern Europe,Fall,1980,November,-2.462,Low
Western Europe,Summer,1980,July,-1.654,Low
Albania,Winter,1981,January,-2.543,Low
Albania,Fall,1981,November,-3.421,Low
Algeria,Winter,1981,January,-2.041,Low
Antarctica,Summer,1981,July,3.682,High
Antarctica,Summer,1981,August,4.23,High
Antarctica,Fall,1981,October,-3.156,Low
Antarctica,Fall,1981,November,-2.202,Low
Austria,Spring,1981,March,3.212,High
Bahamas,Winter,1981,January,-2.191,Low
Bangladesh,Spring,1981,April,-2.141,Low
Belgium-Luxembourg,Spring,1981,March,3.334,High
Belgium-Luxembourg,Winter,1981,December,-2.18,Low
Botswana,Fall,1981,October,-1.715,Low
Bulgaria,Fall,1981,November,-2.383,Low
Canada,Winter,1981,January,6.144,High
Canada,Winter,1981,February,4.288,High
Canada,Spring,1981,March,4.947,High
Canada,Fall,1981,November,3.07,High
Cayman Islands,Winter,1981,January,-2.732,Low
Cuba,Winter,1981,January,-2.291,Low
Cyprus,Fall,1981,November,-1.772,Low
Czechoslovakia,Spring,1981,March,3.434,High
Democratic People's Republic of Korea,Winter,1981,January,-2.606,Low
Democratic People's Republic of Korea,Fall,1981,November,-3.246,Low
Denmark,Winter,1981,December,-5.573,Low
Egypt,Fall,1981,November,-2.134,Low
Eswatini,Fall,1981,October,-2.857,Low
Falkland Islands (Malvinas),Spring,1981,March,-2.087,Low
Faroe Islands,Fall,1981,October,-2.988,Low
Faroe Islands,Winter,1981,December,-2.159,Low
Finland,Spring,1981,March,-3.8,Low
Finland,Winter,1981,December,-3.935,Low
Germany,Spring,1981,March,3.3,High
Germany,Winter,1981,December,-3.044,Low
Gibraltar,Fall,1981,November,2.554,High
Greece,Fall,1981,November,-2.461,Low
Holy See,Winter,1981,January,-2.618,Low
Holy See,Fall,1981,November,-2.552,Low
Hungary,Spring,1981,March,3.144,High
Iceland,Spring,1981,March,-1.843,Low
Iceland,Fall,1981,October,-3.642,Low
Iceland,Fall,1981,November,-1.705,Low
Ireland,Fall,1981,October,-2.765,Low
Ireland,Winter,1981,December,-2.704,Low
Isle of Man,Fall,1981,October,-2.879,Low
Isle of Man,Winter,1981,December,-3.486,Low
Israel,Fall,1981,November,-2.099,Low
Italy,Winter,1981,January,-2.097,Low
Japan,Fall,1981,November,-1.937,Low
Jordan,Fall,1981,November,-2.174,Low
Lebanon,Fall,1981,November,-1.852,Low
Lesotho,Fall,1981,September,-1.914,Low
Lesotho,Fall,1981,October,-2.161,Low
Libya,Winter,1981,January,-3.126,Low
Libya,Fall,1981,November,-2.044,Low
Liechtenstein,Spring,1981,March,2.858,High
Malta,Winter,1981,January,-2.373,Low
Malta,Fall,1981,November,-1.757,Low
Mongolia,Spring,1981,March,2.831,High
Mongolia,Spring,1981,April,3.533,High
Mongolia,Fall,1981,October,-3.34,Low
Mongolia,Fall,1981,November,-3.035,Low
Morocco,Fall,1981,November,2.62,High
Mozambique,Fall,1981,October,-1.803,Low
Netherlands,Spring,1981,March,3.22,High
Netherlands,Winter,1981,December,-3.495,Low
Niger,Winter,1981,January,-2.365,Low
Norway,Spring,1981,March,-2.344,Low
Norway,Summer,1981,June,-2.319,Low
Norway,Winter,1981,December,-5.055,Low
Palestine,Fall,1981,November,-2.095,Low
Paraguay,Spring,1981,May,3.36,High
Poland,Spring,1981,March,2.976,High
Poland,Winter,1981,December,-2.907,Low
Portugal,Fall,1981,November,3.324,High
Republic of Korea,Winter,1981,January,-2.953,Low
Republic of Korea,Fall,1981,November,-2.774,Low
Romania,Fall,1981,November,-1.944,Low
San Marino,Winter,1981,January,-2.13,Low
San Marino,Fall,1981,November,-1.877,Low
Svalbard and Jan Mayen Islands,Winter,1981,January,-6.591,Low
Svalbard and Jan Mayen Islands,Spring,1981,March,-4.322,Low
Svalbard and Jan Mayen Islands,Winter,1981,December,-3.225,Low
Sweden,Spring,1981,March,-2.461,Low
Sweden,Summer,1981,June,-1.592,Low
Sweden,Winter,1981,December,-6.079,Low
Syrian Arab Republic,Spring,1981,May,-1.95,Low
Syrian Arab Republic,Fall,1981,November,-1.949,Low
Timor-Leste,Summer,1981,July,2.826,High
Turkey,Spring,1981,May,-2.119,Low
Turkey,Fall,1981,November,-1.836,Low
Turkey,Winter,1981,December,3.234,High
United Kingdom,Fall,1981,October,-2.652,Low
United Kingdom,Winter,1981,December,-3.542,Low
United States of America,Winter,1981,January,2.946,High
Uruguay,Spring,1981,May,3.567,High
Yugoslav SFR,Winter,1981,January,-2.321,Low
Yugoslav SFR,Spring,1981,March,2.811,High
Yugoslav SFR,Fall,1981,November,-2.24,Low
Zimbabwe,Fall,1981,October,-2.283,Low
Northern America,Winter,1981,January,4.459,High
Northern America,Winter,1981,February,2.972,High
Northern America,Spring,1981,March,3.463,High
Eastern Asia,Fall,1981,November,-1.815,Low
Northern Europe,Winter,1981,December,-4.588,Low
Western Europe,Spring,1981,March,2.882,High
